stratum,bin,bootstrap_resamples,seed,observed_low,observed_high
swe-agent x medium,5,1000,1729,0.6461673725608834,0.6634029153626018
swe-agent x medium,6,1000,1729,0.7008830682135311,0.7186477317080494
swe-agent x medium,7,1000,1729,0.8881991695742618,0.8994723131387349
swe-agent x medium,8,1000,1729,0.9796137006830525,0.9839060621937313
swe-agent x medium,9,1000,1729,0.9988408154964665,0.9995041125765652
hermes,0,1000,1729,0.08242074927953891,0.13499420625724218
hermes,1,1000,1729,0.16382022471910113,0.19587091003950213
hermes,2,1000,1729,0.25131737272312354,0.2784613334517834
hermes,3,1000,1729,0.34374875134854355,0.3811741995048051
hermes,4,1000,1729,0.44276315789473686,0.4806007509386733
hermes,5,1000,1729,0.5204441123091705,0.5677014531043593
hermes,6,1000,1729,0.6290391887246476,0.6704560593276788
hermes,7,1000,1729,0.7203153372602861,0.7640020249436237
hermes,8,1000,1729,0.8313299728576968,0.8720750615023742
hermes,9,1000,1729,0.9688916584191684,0.9802935325250554
hermes x medium,0,1000,1729,0.03869969040247678,0.0890625
hermes x medium,1,1000,1729,0.14945848375451262,0.19306154449235594
hermes x medium,2,1000,1729,0.28218897839151,0.3254310344827586
hermes x medium,3,1000,1729,0.4235123749341759,0.4822913871746713
hermes x medium,4,1000,1729,0.5775653282345443,0.6300651923814393
hermes x medium,5,1000,1729,0.7337104955130707,0.7864639884183858
hermes x medium,6,1000,1729,0.8071929562751828,0.851555929352397
hermes x medium,7,1000,1729,0.9271851743761856,0.949648382559775
hermes x medium,8,1000,1729,0.9857196542653138,0.9943564536683052
hermes x medium,9,1000,1729,0.9992171481826654,0.9999628266607189
hermes x short,0,1000,1729,0.3073170731707317,0.5276381909547738
hermes x short,1,1000,1729,0.5969962453066333,0.6776740847092606
hermes x short,2,1000,1729,0.5177826833455973,0.5618998183233844
hermes x short,3,1000,1729,0.7573467674223342,0.8074183976261128
hermes x short,4,1000,1729,0.8470910752360645,0.8909142694389063
hermes x short,5,1000,1729,0.9203488372093023,0.9557277255118982
hermes x short,6,1000,1729,0.9903777619387027,0.9964701729615248
hermes x short,7,1000,1729,1.0,1.0
hermes x short,8,1000,1729,0.9815384615384616,1.0
hermes x short,9,1000,1729,1.0,1.0
hermes x long,0,1000,1729,0.0327683615819209,0.09908069458631256
hermes x long,1,1000,1729,0.07296009529481834,0.11246943765281174
hermes x long,2,1000,1729,0.12757843647079217,0.16148068669527896
hermes x long,3,1000,1729,0.1823463687150838,0.22884315328033286
hermes x long,4,1000,1729,0.250832494385503,0.29320939026311643
hermes x long,5,1000,1729,0.3485561398653012,0.4023369036027264
hermes x long,6,1000,1729,0.45160312286818766,0.5047065125889646
hermes x long,7,1000,1729,0.5741680346216983,0.6372438639945958
hermes x long,8,1000,1729,0.7540943929003631,0.8123863144218276
hermes x long,9,1000,1729,0.9422617406488374,0.9642211459054081
terminalbench,0,1000,1729,0.09182925040340326,0.16153914354109408
terminalbench,1,1000,1729,0.1710358147064671,0.21535440692497027
terminalbench,2,1000,1729,0.2588257805274739,0.306577253945675
terminalbench,3,1000,1729,0.3504783853621063,0.39907282209774
terminalbench,4,1000,1729,0.4449217889402952,0.5045592705167173
terminalbench,5,1000,1729,0.5377149753595495,0.598750931072022
terminalbench,6,1000,1729,0.6439851965849548,0.7044624115680634
terminalbench,7,1000,1729,0.7313432835820896,0.7901564666270549
terminalbench,8,1000,1729,0.8352913255013646,0.8819692307692307
terminalbench,9,1000,1729,0.9428617180789891,0.9716951080773606
terminalbench x long,0,1000,1729,0.09020534550195568,0.16335585358475346
terminalbench x long,1,1000,1729,0.13902281614213582,0.1908413672217353
terminalbench x long,2,1000,1729,0.2096143979160911,0.26585458698134756
terminalbench x long,3,1000,1729,0.26935010838610957,0.3230853692012078
terminalbench x long,4,1000,1729,0.3505278430980137,0.42329810764315556
terminalbench x long,5,1000,1729,0.44739908162565967,0.5176290630975143
terminalbench x long,6,1000,1729,0.557702450016781,0.6286192739844425
terminalbench x long,7,1000,1729,0.6625053285427197,0.7331965110312981
terminalbench x long,8,1000,1729,0.7838580999961272,0.8427987476082797
terminalbench x long,9,1000,1729,0.9177905527989683,0.9578110198056884
terminalbench x medium,0,1000,1729,0.18128654970760233,0.3987730061349693
terminalbench x medium,1,1000,1729,0.24276908487434803,0.3039555863983345
terminalbench x medium,2,1000,1729,0.44546034446098237,0.505428997232276
terminalbench x medium,3,1000,1729,0.5739421868454126,0.6303706823925863
terminalbench x medium,4,1000,1729,0.7484942886812046,0.8039611964430072
terminalbench x medium,5,1000,1729,0.7971473851030111,0.838828967642527
terminalbench x medium,6,1000,1729,0.9246181313231502,0.9506572680510573
terminalbench x medium,7,1000,1729,0.9168231821840622,0.9463591604042498
terminalbench x medium,8,1000,1729,0.9809614469300333,0.9918737302703547
terminalbench x medium,9,1000,1729,0.9984879363618434,0.9997400571874188
terminalbench x short,0,1000,1729,0.0,1.0
terminalbench x short,1,1000,1729,0.5753086419753086,0.6698194325021496
terminalbench x short,2,1000,1729,0.8318425760286225,0.9276190476190476
terminalbench x short,3,1000,1729,0.8701880035810206,0.9121298949379179
terminalbench x short,4,1000,1729,0.92496765847348,0.9642416769420469
terminalbench x short,5,1000,1729,0.9637546468401487,0.9875478927203065
terminalbench x short,6,1000,1729,0.92399658411614,0.956442831215971
terminalbench x short,7,1000,1729,0.9888724035608308,0.9984423676012462
terminalbench x short,8,1000,1729,0.9953183520599251,0.999512432959532
terminalbench x short,9,1000,1729,1.0,1.0
