stratum,bin,bootstrap_resamples,seed,observed_low,observed_high
swe-agent x medium,3,1000,1729,0.36937720070422536,0.3845445671946404
swe-agent x medium,4,1000,1729,0.5251111834255342,0.5481014904187367
swe-agent x medium,5,1000,1729,0.6443254734460633,0.6615751742907574
swe-agent x medium,6,1000,1729,0.707215227436517,0.7238249456683854
swe-agent x medium,7,1000,1729,0.890262234842158,0.901536462254059
swe-agent x medium,8,1000,1729,0.9810356581794469,0.9852803081505583
swe-agent x medium,9,1000,1729,0.998856841814527,0.9995353459736438
hermes,0,1000,1729,0.07990115321252059,0.15092674315975288
hermes,1,1000,1729,0.16125807443863427,0.19145814654821094
hermes,2,1000,1729,0.245527840765936,0.2730402542372881
hermes,3,1000,1729,0.3483191906005222,0.38112260096174305
hermes,4,1000,1729,0.43328240861497186,0.47602699183141944
hermes,5,1000,1729,0.5387703601743519,0.582970320032526
hermes,6,1000,1729,0.6335901386748845,0.675162167817535
hermes,7,1000,1729,0.7288835458916998,0.7677131022454764
hermes,8,1000,1729,0.8318886522363663,0.8733894430590191
hermes,9,1000,1729,0.9696366043478799,0.981318843068469
hermes x medium,0,1000,1729,0.03350515463917526,0.1089588377723971
hermes x medium,1,1000,1729,0.13128550389227855,0.17056312258589143
hermes x medium,2,1000,1729,0.2831560522418204,0.32321098494850803
hermes x medium,3,1000,1729,0.43313772006492696,0.48049123704746066
hermes x medium,4,1000,1729,0.5646336785577292,0.6278209396966333
hermes x medium,5,1000,1729,0.738332356961531,0.7859957020057307
hermes x medium,6,1000,1729,0.8204289824744965,0.8588761174968071
hermes x medium,7,1000,1729,0.9177994562609947,0.9412977947009361
hermes x medium,8,1000,1729,0.9862412761714855,0.9947057625738139
hermes x medium,9,1000,1729,0.9991637579988365,0.9999637102627377
hermes x short,0,1000,1729,0.27040816326530615,0.5388888888888889
hermes x short,1,1000,1729,0.5902901124925992,0.6721728081321474
hermes x short,2,1000,1729,0.5173688100517368,0.5659312467932273
hermes x short,3,1000,1729,0.7521865889212828,0.8030529781502544
hermes x short,4,1000,1729,0.8501978518937253,0.8944394885518882
hermes x short,5,1000,1729,0.9198585739540366,0.9541130386121992
hermes x short,6,1000,1729,0.9914498141263941,0.9974330766409975
hermes x short,7,1000,1729,1.0,1.0
hermes x short,8,1000,1729,0.9752066115702479,1.0
hermes x short,9,1000,1729,1.0,1.0
hermes x long,0,1000,1729,0.01517706576728499,0.09027777777777778
hermes x long,1,1000,1729,0.06715844475180575,0.10504952102614061
hermes x long,2,1000,1729,0.12286689419795221,0.16134928547690264
hermes x long,3,1000,1729,0.18256781750924783,0.22290357197608462
hermes x long,4,1000,1729,0.25593792172739543,0.3077074709245023
hermes x long,5,1000,1729,0.3713860741842521,0.42693602693602695
hermes x long,6,1000,1729,0.4585455574419921,0.5194050033806626
hermes x long,7,1000,1729,0.5706594885598923,0.6288360778443114
hermes x long,8,1000,1729,0.7727372342756959,0.8263498920086393
hermes x long,9,1000,1729,0.9430094946676866,0.9657807533644417
terminalbench,0,1000,1729,0.08142236589554501,0.14473781525035131
terminalbench,1,1000,1729,0.16729249565656,0.20903052752586537
terminalbench,2,1000,1729,0.2672127586955847,0.31421901958794274
terminalbench,3,1000,1729,0.3486219871860063,0.39867994441871235
terminalbench,4,1000,1729,0.4400780972665957,0.5022090696898966
terminalbench,5,1000,1729,0.5390590649274513,0.6042331418847053
terminalbench,6,1000,1729,0.640306886227545,0.7007827557723322
terminalbench,7,1000,1729,0.7372873808887701,0.7988135679156315
terminalbench,8,1000,1729,0.8335561091196306,0.881540012356518
terminalbench,9,1000,1729,0.940453004953304,0.9699612124694728
terminalbench x long,0,1000,1729,0.07912551326156919,0.14634873323397912
terminalbench x long,1,1000,1729,0.1366523057284187,0.18201886413806945
terminalbench x long,2,1000,1729,0.21790837236533958,0.2752931291295879
terminalbench x long,3,1000,1729,0.2706402793946449,0.32284528520413086
terminalbench x long,4,1000,1729,0.3387944210928544,0.41414141414141414
terminalbench x long,5,1000,1729,0.45713727787541497,0.5332470055033992
terminalbench x long,6,1000,1729,0.550810731849832,0.6200010060868253
terminalbench x long,7,1000,1729,0.673873017758508,0.7477650063856961
terminalbench x long,8,1000,1729,0.7807031373167271,0.8423773713895061
terminalbench x long,9,1000,1729,0.9157388497265959,0.9577738020822106
terminalbench x medium,0,1000,1729,0.22580645161290322,0.4766355140186916
terminalbench x medium,1,1000,1729,0.24257184607890891,0.2991040661612681
terminalbench x medium,2,1000,1729,0.4450453930847981,0.5054336682386713
terminalbench x medium,3,1000,1729,0.5747925543843911,0.6318992654774397
terminalbench x medium,4,1000,1729,0.7407628128724673,0.7988165680473372
terminalbench x medium,5,1000,1729,0.7965860597439545,0.8362989323843416
terminalbench x medium,6,1000,1729,0.9344012204424104,0.9593918041906174
terminalbench x medium,7,1000,1729,0.907862739800054,0.9432844243792325
terminalbench x medium,8,1000,1729,0.9853097077086173,0.9940439828955406
terminalbench x medium,9,1000,1729,0.9996007718411072,1.0
terminalbench x short,0,1000,1729,0.0,0.0
terminalbench x short,1,1000,1729,0.600896860986547,0.692138133725202
terminalbench x short,2,1000,1729,0.8492647058823529,0.9424860853432282
terminalbench x short,3,1000,1729,0.8825475599669148,0.9230769230769231
terminalbench x short,4,1000,1729,0.9060710194730813,0.9516288252714709
terminalbench x short,5,1000,1729,0.9590690208667737,0.9853300733496333
terminalbench x short,6,1000,1729,0.977639751552795,0.9944506104328524
terminalbench x short,7,1000,1729,0.9954068241469817,1.0
terminalbench x short,8,1000,1729,1.0,1.0
terminalbench x short,9,1000,1729,1.0,1.0
