source,final_total,trace_count
swe-agent,152,2
swe-agent,154,4
swe-agent,155,4
swe-agent,156,2
swe-agent,158,4
swe-agent,159,1
swe-agent,160,1
swe-agent,161,1
swe-agent,162,2
swe-agent,164,2
swe-agent,166,2
swe-agent,167,3
swe-agent,169,1
swe-agent,170,2
swe-agent,171,3
swe-agent,175,1
swe-agent,177,1
swe-agent,180,2
swe-agent,181,1
swe-agent,182,3
swe-agent,183,1
swe-agent,186,1
swe-agent,188,1
swe-agent,189,3
swe-agent,192,1
swe-agent,193,1
swe-agent,194,2
swe-agent,196,1
swe-agent,197,1
swe-agent,198,2
swe-agent,200,1
swe-agent,202,2
swe-agent,204,1
swe-agent,205,4
swe-agent,212,1
swe-agent,213,1
swe-agent,216,1
swe-agent,220,2
swe-agent,221,1
swe-agent,225,1
swe-agent,228,1
swe-agent,229,1
swe-agent,231,1
swe-agent,248,2
swe-agent,254,1
swe-agent,257,1
swe-agent,259,1
terminalbench,0,70
terminalbench,1,1176
terminalbench,2,898
terminalbench,3,796
terminalbench,4,451
terminalbench,5,424
terminalbench,6,279
terminalbench,7,318
terminalbench,8,196
terminalbench,9,222
terminalbench,10,134
terminalbench,11,135
terminalbench,12,119
terminalbench,13,133
terminalbench,14,92
terminalbench,15,102
terminalbench,16,71
terminalbench,17,69
terminalbench,18,65
terminalbench,19,63
terminalbench,20,44
terminalbench,21,61
terminalbench,22,34
terminalbench,23,33
terminalbench,24,27
terminalbench,25,28
terminalbench,26,29
terminalbench,27,28
terminalbench,28,25
terminalbench,29,22
terminalbench,30,22
terminalbench,31,19
terminalbench,32,18
terminalbench,33,18
terminalbench,34,27
terminalbench,35,17
terminalbench,36,23
terminalbench,37,13
terminalbench,38,11
terminalbench,39,12
terminalbench,40,6
terminalbench,41,8
terminalbench,42,7
terminalbench,43,6
terminalbench,44,5
terminalbench,45,9
terminalbench,46,4
terminalbench,47,4
terminalbench,48,6
terminalbench,49,11
terminalbench,50,4
terminalbench,51,6
terminalbench,52,2
terminalbench,53,4
terminalbench,54,5
terminalbench,55,6
terminalbench,56,4
terminalbench,57,4
terminalbench,58,1
terminalbench,59,3
terminalbench,60,1
terminalbench,61,2
terminalbench,62,1
terminalbench,63,1
terminalbench,64,4
terminalbench,65,1
terminalbench,66,1
terminalbench,67,1
terminalbench,68,1
terminalbench,69,3
terminalbench,70,4
terminalbench,71,2
terminalbench,72,1
terminalbench,73,1
terminalbench,74,1
terminalbench,75,1
terminalbench,76,4
terminalbench,77,2
terminalbench,79,1
terminalbench,80,2
terminalbench,82,1
terminalbench,83,1
terminalbench,84,2
terminalbench,85,1
terminalbench,87,1
terminalbench,88,3
terminalbench,89,1
terminalbench,91,1
terminalbench,92,1
terminalbench,93,1
terminalbench,96,1
terminalbench,101,1
terminalbench,109,1
terminalbench,111,1
terminalbench,117,1
terminalbench,131,1
terminalbench,135,1
terminalbench,151,1
terminalbench,162,1
terminalbench,163,1
terminalbench,165,1
terminalbench,181,1
terminalbench,220,1
terminalbench,236,1
terminalbench,270,1
terminalbench,298,1
terminalbench,517,1
terminalbench,689,1
