pack_id,pack_seed,template_ids,context_tokens,prompt_tokens,output_tokens
11,1012,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e,5206;21008;30116;12526;14342;11490;22656;14142,272;45;550;259;471;149;340;359,9;1;410;1;37;59;14;94
12,1013,nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02,21871;14143;16137;18090;16467;22982;15636;21968,147;392;54;93;50;937;225;445,14;9;1;22;1;10;16;97
13,1014,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c,17992;19949;16349;2828;13712;6524;12816;16986,187;173;528;56;34;251;118;60,1;17;71;13;26;1;10;1
14,1015,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3,13501;29371;12040;27003;14059;13282;19987;14143,990;212;497;127;619;140;84;392,18;6;31;44;22;1;1;9
15,1016,nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae,19056;8169;19904;5485;22132;13753;11548;22786,1013;159;224;76;967;119;134;1431,48;1;116;16;91;27;13;14
16,1017,nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e,19726;10069;7879;27458;7420;5067;10623;13145,146;125;436;152;1113;146;84;583,72;1;12;22;9;1;1;260
17,1018,nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c,20014;11034;17183;4909;14812;21848;29726;2980,70;478;70;42;96;1666;146;571,328;10;370;1;1;10;1;1
18,1019,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c,4206;5163;18938;28109;13728;22704;20662;16986,113;326;226;420;293;174;109;60,14;22;1;1;1;18;18;1
19,1020,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa,12807;20742;14342;25531;11789;17253;24858;17262,719;122;471;274;102;815;1012;2017,88;15;37;406;8;21;1;32
20,1021,nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02,18815;3665;23588;24805;16268;9996;24407;10195,300;1843;458;163;49;274;571;1066,13;1;12;38;1;18;31;20
21,1022,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7,12118;15672;5712;8003;24968;29988;9441;15832,180;232;307;1536;215;76;190;650,1;16;74;33;12;18;25;128
22,1023,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae,8745;24765;27439;6945;23298;2862;13777;24217,223;139;189;76;1109;62;365;1244,22;33;9;18;20;13;143;1
23,1024,nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e,21074;8394;18237;12701;19538;19786;26842;19738,1182;1406;49;474;449;349;211;287,27;138;20;1;12;35;260;9
24,1025,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e,2862;25455;20745;22534;23805;8929;9745;25177,62;41;73;50;89;62;324;444,13;55;13;1;1;34;64;31
25,1026,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a,5948;23730;20771;17084;9996;22709;18121;27868,164;354;293;484;274;77;893;252,12;18;18;14;18;1;8;13
